Media,Treatment,Plate,Seedling,Total_biomass_g,Shoot_biomass_g,Root_biomass_g,Total_biomass_mg,Shoot_biomass_mg,Root_biomass_mg,Primary_root_length_pixel,Total_root_length_pixel,Primary_root_length_mm,Total_root_length_mm,Number_lateral_roots
250mM,control,2,2,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,321.7,384.43,32.69308943,39.06808943,5
250mM,control,2,3,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,331.13,353.91,33.65142276,35.96646341,4
250mM,control,2,4,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,362.71,376.34,36.86077236,38.24593496,1
250mM,control,2,5,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,328.16,356.78,33.3495935,36.25813008,2
250mM,control,2,6,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,316.29,316.29,32.14329268,32.14329268,0
250mM,control,2,7,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,339.52,373.99,34.50406504,38.00711382,3
250mM,control,2,8,0.0024125,0.0021,0.0003125,2.4125,2.1,0.3125,301.65,313.06,30.6554878,31.81504065,1
250mM,control,3,1,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,246.71,349.29,25.07215447,35.49695122,2
250mM,control,3,2,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,322.21,337.21,32.7449187,34.26930894,1
250mM,control,3,3,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,308.24,308.24,31.32520325,31.32520325,0
250mM,control,3,4,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,334.57,334.57,34.00101626,34.00101626,0
250mM,control,3,5,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,384.19,396.2,39.04369919,40.26422764,2
250mM,control,3,6,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,353.94,362.64,35.9695122,36.85365854,2
250mM,control,3,7,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,311.58,323.81,31.66463415,32.90752033,1
250mM,control,3,8,0.002075,0.0015875,0.0004875,2.075,1.5875,0.4875,279.5,291.8,28.40447154,29.65447154,2
250mM,WCS417,1,1,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,335.83,415.79,34.12906504,42.2550813,4
250mM,WCS417,1,2,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,362.43,433.35,36.83231707,44.03963415,3
250mM,WCS417,1,3,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,389.16,556.23,39.54878049,56.52743902,5
250mM,WCS417,1,4,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,354.87,397,36.06402439,40.34552846,2
250mM,WCS417,1,5,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,383.05,511.02,38.92784553,51.93292683,6
250mM,WCS417,1,6,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,369.11,476.68,37.51117886,48.44308943,3
250mM,WCS417,1,7,0.003242857,0.002585714,0.000657143,3.242857143,2.585714286,0.657142857,297.91,327.76,30.2754065,33.30894309,1
250mM,WCS417,2,1,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,345.06,500.03,35.06707317,50.81605691,3
250mM,WCS417,2,2,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,310.74,467.94,31.57926829,47.55487805,4
250mM,WCS417,2,3,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,388.74,428.97,39.50609756,43.5945122,1
250mM,WCS417,2,4,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,377.85,480.94,38.39939024,48.87601626,3
250mM,WCS417,2,5,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,361.67,414.92,36.7550813,42.16666667,4
250mM,WCS417,2,6,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,327.46,453.48,33.27845528,46.08536585,3
250mM,WCS417,2,7,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,303.42,356.43,30.83536585,36.22256098,4
250mM,WCS417,2,8,0.0036375,0.0026875,0.00095,3.6375,2.6875,0.95,252.41,252.41,25.65142276,25.65142276,0
250mM,WCS417,3,1,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,309.1,425.6,31.41260163,43.25203252,3
250mM,WCS417,3,2,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,360.44,615.73,36.6300813,62.57418699,7
250mM,WCS417,3,3,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,357.69,462.42,36.35060976,46.99390244,6
250mM,WCS417,3,4,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,399.51,564.04,40.60060976,57.32113821,6
250mM,WCS417,3,5,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,307.04,391.7,31.20325203,39.80691057,4
250mM,WCS417,3,6,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,320.09,502.43,32.52947154,51.05995935,4
250mM,WCS417,3,7,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,374.21,470.28,38.02947154,47.79268293,4
250mM,WCS417,3,8,0.0028375,0.0021625,0.000675,2.8375,2.1625,0.675,423.26,495.41,43.01422764,50.34654472,2
